"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","skills"
310660,"Principal Data Analyst, AV Performance Analysis","Motional","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","jira"
310660,"Principal Data Analyst, AV Performance Analysis","Motional","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","confluence"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","sql"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","python"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","go"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","snowflake"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","pandas"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","numpy"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","excel"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","tableau"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","gitlab"
387860,"ERM Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","184000.0","2023-06-09 08:01:04","sql"
387860,"ERM Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","184000.0","2023-06-09 08:01:04","python"
387860,"ERM Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","184000.0","2023-06-09 08:01:04","r"
